"name","dns_domain","u_type","install_status","ip_address","u_d_operating_system","os_domain"
"awseuwappmrd01","","Windows","In Use","10.36.1.213","Windows 2008 R2","us.maritz.net"
"awseuwappmrd02","us.maritz.net","Windows","In Use","10.36.1.32","Windows 2008 R2","us.maritz.net"
"awseuwdcus99","us.maritz.net","Windows","In Use","10.36.5.99","Windows 2008 R2","us.maritz.net"
"awseuwftp1002","","Windows","In Use","10.36.5.19","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrd01","","Windows","In Use","10.36.4.189","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrd02","us.maritz.net","Windows","In Use","10.36.4.154","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp01","","Windows","In Use","10.36.2.122","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp04","","Windows","In Use","10.36.2.115","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp05","","Windows","In Use","10.36.2.29","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp07","","Windows","In Use","10.36.2.233","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrr01","","Windows","In Use","10.36.2.141","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrr02","","Windows","In Use","10.36.2.216","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrt01","","Windows","In Use","10.36.2.151","Windows 2008 R2","us.maritz.net"
"awseuwtsvr1002","us.maritz.net","Windows","In Use","10.36.5.87","Windows 2008 R2","us.maritz.net"
"awseuwwapmrd01","us.maritz.net","Windows","In Use","10.36.4.26","Windows 2008 R2","us.maritz.net"
"awseuwwapmrp01","us.maritz.net","Windows","In Use","10.36.1.173","Windows 2008 R2","us.maritz.net"
"awseuwwebmrd01","us.maritz.net","Windows","In Use","10.36.3.200","Windows 2008 R2","us.maritz.net"
"awsuseappmrp01","","Windows","Retired","10.34.5.76","Windows 2008 R2","us.maritz.net"
"awsusedcus99","us.maritz.net","Windows","In Use","10.34.5.99","Windows 2008 R2","us.maritz.net"
"awsuseftp1001","","Windows","In Use","10.34.5.7","Windows 2008 R2","us.maritz.net"
"awsusesqlmrd01","","Windows","In Use","10.34.4.113","Windows 2008 R2","us.maritz.net"
"awsusesqlmrd03","","Windows","In Use","10.34.4.91","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp01","","Windows","In Use","10.34.2.220","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp02","","Windows","In Use","10.34.2.221","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp04","","Windows","In Use","10.34.2.164","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp05","","Windows","In Use","10.34.2.217","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp06","","Windows","In Use","10.34.2.18","Windows 2008 R2","us.maritz.net"
"awsusetsvr1002","","Windows","In Use","10.34.5.45","Windows 2008 R2","us.maritz.net"
"awsusewapmrd01","","Windows","In Use","10.34.4.197","Windows 2008 R2","us.maritz.net"
"awsusewapmrp01","","Windows","In Use","10.34.1.21","Windows 2008 R2","us.maritz.net"
"awsusewebmrd02","us.maritz.net","Windows","In Use","10.34.3.171","Windows 2008 R2","us.maritz.net"
"awsusewebmrd03","us.maritz.net","Windows","In Use","10.34.3.42","Windows 2008 R2","us.maritz.net"
"awsusewebmrd04","us.maritz.net","Windows","In Use","10.34.3.5","Windows 2008 R2","us.maritz.net"
"awsusewebmrd05","us.maritz.net","Windows","In Use","10.34.3.147","Windows 2008 R2","us.maritz.net"
"chi010offc01","","Windows","In Use","10.30.7.137","Windows 2008 R2","us.maritz.net"
"edi001offc05","","Windows","In Use","10.30.5.155","","us.maritz.net"
"fenappaltp02","","Windows","In Use","10.10.107.21","Windows 2003","us.maritz.net"
"fenappavp01","","Windows","In Use","156.45.55.26","Windows 2008 R2","us.maritz.net"
"fenappccad801v","us.maritz.net","Windows","In Use","156.45.66.85","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappccat801v","us.maritz.net","Windows","In Use","172.18.2.22","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappcenp04","","Windows","Build/Rebuild","156.45.65.67","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappcsmt01","","Windows","In Use","172.18.2.19","Windows 2008 R2","us.maritz.net"
"fenappdev01","","Windows","In Use","156.45.55.136","Windows 2003","us.maritz.net"
"fenappditbd501v","","Windows","In Use","156.45.55.103","Windows 2003","us.maritz.net"
"fenappditbt501v","","Windows","In Use","156.45.55.104","Windows 2003","us.maritz.net"
"fenappdlpp01","","Windows","In Use","172.19.7.41","Windows 2008 R2","us.maritz.net"
"fenappdlpp02","","Windows","In Use","172.19.7.31","Windows 2008 R2","us.maritz.net"
"fenappdlpp03","","Windows","In Use","172.19.7.32","Windows 2008 R2","us.maritz.net"
"fenappdlpp04","","Windows","In Use","172.19.7.33","Windows 2008 R2","us.maritz.net"
"fenappdlpp06","","Windows","In Use","172.19.7.28","Windows 2008 R2","us.maritz.net"
"fenappdlpp07","","Windows","In Use","172.19.7.29","Windows 2008 R2","us.maritz.net"
"fenappedp02","","Windows","In Use","156.45.55.119","Windows 2003","us.maritz.net"
"fenappedp03","","Windows","In Use","156.45.55.116","Windows 2003","us.maritz.net"
"fenappedp06","","Windows","In Use","156.45.54.44","Windows 2003","us.maritz.net"
"fenappedp07","","Windows","In Use","156.45.54.65","Windows 2008 R2","us.maritz.net"
"fenappekmp02","","Windows","In Use","10.2.1.56","Windows Server 2012 Standard","us.maritz.net"
"fenappepop02","","Windows","In Use","156.45.50.81","Windows 2003","us.maritz.net"
"fenappepop03","","Windows","In Use","156.45.50.159","Windows Server 2012 Standard","us.maritz.net"
"fenappfind01","","Windows","In Use","172.19.15.25","Windows 2008 R2","us.maritz.net"
"fenappfind02","","Windows","De-Installed","172.19.15.26","Windows 2003 R2","us.maritz.net"
"fenappfind04","","Windows","In Use","172.19.15.28","Windows 2008 R2","us.maritz.net"
"fenappfinp02","us.maritz.net","Windows","In Use","172.19.15.20","Windows 2003 R2","us.maritz.net"
"fenappfinp03","","Windows","In Use","172.19.15.24","Windows 2008 R2","us.maritz.net"
"fenappfinp04","","Windows","In Use","156.45.55.113","Windows 2008 R2","us.maritz.net"
"fenappfinp05","","Windows","In Use","172.19.15.21","Windows 2008 R2","us.maritz.net"
"fenappgateway01","","Windows","In Use","172.19.23.27","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappiexp01","","Windows","In Use","172.18.6.11","Windows 2008 R2","us.maritz.net"
"fenapplawp01","","Windows","In Use","156.45.50.72","Windows 2003","us.maritz.net"
"fenappmgd02","","Windows","Installed","156.45.66.58","Windows 2008 R2","us.maritz.net"
"fenappmgp01","","Windows","In Use","172.19.7.30","Windows 2008 R2","us.maritz.net"
"fenappmgp03","","Windows","In Use","172.19.1.249","","us.maritz.net"
"fenappmgp07","","Windows","In Use","156.45.55.249","Windows 2008 R2","us.maritz.net"
"fenappmgp11","","Windows","Decommissioned","172.19.8.61","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp12","","Windows","Decommissioned","172.19.8.62","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp13","","Windows","In Use","172.19.8.63","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp14","","Windows","In Use","156.45.55.121","Windows 2008 R2","us.maritz.net"
"fenappmgp16","","Windows","In Use","172.19.8.35","Windows Server 2012 R2 Standard R2","us.maritz.net"
